Treatment,Berry_dry_weight_g_plant,Shoot_dry_weight_g_plant,Root_dry_weight_g_plant,Berry_fraction_of_total_aboveground_biomass,Root_to_total_aboveground_biomass_ratio,Berry_Cd_concentration_mg_kg,Shoot_Cd_concentration_mg_kg,Root_Cd_concentration_mg_kg,Berry_to_shoot_translocation_factor,Shoot_to_root_translocation_factor,Berry_Cd_extraction_ug_pot,Shoot_Cd_extraction_ug_pot,Berry_bioconcentration_factor,Shoot_bioconcentration_factor,Root_bioconcentration_factor
CK,0.9931,2.7768,0.7643,0.263428738,0.202737473,8.151781728,48.26480835,19.62669015,0.168897008,2.386299026,8.801804803,154.249501,2.352749537,13.93008416,6.658548114
CK,1.0559,3.7815,0.8258,0.218278414,0.170711539,9.801034092,46.83515159,18.01227845,0.209266625,3.090861454,10.58256855,177.9268017,2.828753172,13.51745973,5.664612681
CK,1.2358,3.8362,0.7626,0.24365142,0.15035489,6.644622992,49.09287199,17.25769016,0.119349926,2.84469541,7.174465229,156.8959096,1.917756656,16.06835229,5.198664685
CK,1.0983,3.043,0.7293,0.265206578,0.176104122,6.244797314,49.38721212,15.24911837,0.127203748,3.238692947,6.742757452,157.8365912,1.802359837,14.16907809,4.980877052
CK,1.0156,2.5418,0.8475,0.285489402,0.23823579,9.280114902,45.25341745,16.80855735,0.205069925,2.692284443,10.02011126,144.6253968,2.678406607,14.2540299,4.851249314
CK,1.1797,3.1959,0.7859,0.269608739,0.179609654,8.024470206,47.7666923,17.3908669,0.165957446,2.850566656,8.664341459,158.3068401,2.316005162,14.38780083,5.470790369
PE0.5,1.258,2.4519,1.0472,0.339092698,0.282271759,4.176158979,44.55564469,18.14132618,0.093729066,2.30970222,5.755582304,98.10379296,1.205313934,12.09339332,5.23591016
PE0.5,1.277,2.596,1.0467,0.329718564,0.270255616,3.434804306,43.95401448,21.75511449,0.078145406,2.048053791,4.733847294,104.319022,0.991345758,12.8595534,6.278913892
PE0.5,1.3281,2.5541,0.9049,0.34209984,0.233089485,3.915467408,46.08175369,21.79196022,0.084967847,2.016983054,5.396297182,102.9104132,1.130073699,12.68591219,6.289548228
PE0.5,1.425,2.0457,0.796,0.410579998,0.229348546,4.683542167,44.76002296,22.30858526,0.104636724,2.065651101,6.454857815,107.8921316,1.351753768,13.30001566,5.68987197
PE0.5,1.6029,2.0589,0.8781,0.43773554,0.239800098,5.405975797,55.82945294,19.71420826,0.096830177,2.270444867,7.450515844,104.797537,1.560260993,12.91854061,4.431538229
PE0.5,1.3782,2.3413,0.9346,0.370533674,0.251270332,4.323189731,47.03617775,20.74223888,0.091661844,2.142167007,5.958220088,103.6045794,1.24774963,12.77148304,5.585156496
PVC5,2.1013,2.3643,0.8801,0.470552669,0.197084378,2.977103174,53.96381538,23.56873376,0.055168508,2.122882211,4.979740937,122.9414435,0.859245052,15.57491919,6.802356747
PVC5,1.4348,2.3912,0.9782,0.375013068,0.25567172,3.383351964,48.68383111,22.99886974,0.06949642,2.065610805,5.659265163,110.9124777,0.976495695,14.0510216,6.637883832
PVC5,1.5611,2.0816,1.0649,0.428555742,0.292338101,3.239148715,56.89826303,20.60242163,0.05692878,2.107541599,5.418059273,110.4277718,0.934876067,13.98961631,5.946226184
PVC5,1.5389,2.437,0.9285,0.387057019,0.23353203,3.686148956,49.75280254,23.77461559,0.074089273,2.761726949,6.165747636,129.6267608,1.063888306,16.4218531,6.861777913
PVC5,1.7273,2.117,1.1996,0.44931457,0.312046406,4.277312956,61.63581957,20.69618207,0.069396545,2.092685888,7.154575836,113.3478298,1.234508775,14.35954581,5.973287117
PVC5,1.6627,2.2782,1.0103,0.421908701,0.25636276,3.512613153,54.18690633,22.32816456,0.065015905,2.23008949,5.875477769,117.4512567,1.013802779,14.8793912,6.444306359
